,ref_time,call_start_time,call_end_time,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
10,2022-08-27 03:30:40.066500000,2022-08-27 03:30:40.066500000,2022-08-27 03:30:40.076900000,40.0665,40.0769,25468.0,33818.0,Echolocation,Eptesicus serotinus,0.36,0.57,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
140,2022-08-27 03:31:14.777500000,2022-08-27 03:31:14.777500000,2022-08-27 03:31:14.786800000,74.7775,74.7868,25468.0,32885.0,Echolocation,Eptesicus serotinus,0.271,0.546,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
141,2022-08-27 03:31:36.421500000,2022-08-27 03:31:36.421500000,2022-08-27 03:31:36.433300000,96.4215,96.4333,25468.0,32340.0,Echolocation,Eptesicus serotinus,0.296,0.568,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
142,2022-08-27 03:31:36.534500000,2022-08-27 03:31:36.534500000,2022-08-27 03:31:36.544200000,96.5345,96.5442,25468.0,33072.0,Echolocation,Nyctalus leisleri,0.337,0.668,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
143,2022-08-27 03:31:40.125500000,2022-08-27 03:31:40.125500000,2022-08-27 03:31:40.137100000,100.1255,100.1371,25468.0,31413.0,Echolocation,Nyctalus leisleri,0.271,0.523,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
147,2022-08-27 03:32:24.742500000,2022-08-27 03:32:24.742500000,2022-08-27 03:32:24.751600000,144.7425,144.7516,25468.0,33906.0,Echolocation,Eptesicus serotinus,0.326,0.648,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
148,2022-08-27 03:33:13.663500000,2022-08-27 03:33:13.663500000,2022-08-27 03:33:13.677200000,193.6635,193.6772,27187.0,33670.0,Echolocation,Nyctalus leisleri,0.271,0.609,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
149,2022-08-27 03:33:15.316500000,2022-08-27 03:33:15.316500000,2022-08-27 03:33:15.327100000,195.3165,195.3271,28046.0,35701.0,Echolocation,Eptesicus serotinus,0.277,0.566,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
150,2022-08-27 03:33:41.815500000,2022-08-27 03:33:41.815500000,2022-08-27 03:33:41.829100000,221.8155,221.8291,26328.0,34537.0,Echolocation,Eptesicus serotinus,0.33,0.531,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
151,2022-08-27 03:33:53.401500000,2022-08-27 03:33:53.401500000,2022-08-27 03:33:53.414800000,233.4015,233.4148,27187.0,35288.0,Echolocation,Eptesicus serotinus,0.363,0.617,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
152,2022-08-27 03:33:53.498500000,2022-08-27 03:33:53.498500000,2022-08-27 03:33:53.508100000,233.4985,233.5081,28906.0,35935.0,Echolocation,Eptesicus serotinus,0.265,0.596,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
154,2022-08-27 03:34:12.415500000,2022-08-27 03:34:12.415500000,2022-08-27 03:34:12.426400000,252.4155,252.4264,26328.0,34095.0,Echolocation,Eptesicus serotinus,0.312,0.573,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
155,2022-08-27 03:34:12.973500000,2022-08-27 03:34:12.973500000,2022-08-27 03:34:12.983800000,252.9735,252.9838,27187.0,33185.0,Echolocation,Nyctalus leisleri,0.273,0.571,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
156,2022-08-27 03:34:34.802500000,2022-08-27 03:34:34.802500000,2022-08-27 03:34:34.815400000,274.8025,274.8154,27187.0,33434.0,Echolocation,Eptesicus serotinus,0.233,0.51,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
157,2022-08-27 03:34:34.925500000,2022-08-27 03:34:34.925500000,2022-08-27 03:34:34.936100000,274.9255,274.9361,27187.0,33847.0,Echolocation,Eptesicus serotinus,0.282,0.604,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
158,2022-08-27 03:34:35.070500000,2022-08-27 03:34:35.070500000,2022-08-27 03:34:35.082500000,275.0705,275.0825,27187.0,36296.0,Echolocation,Eptesicus serotinus,0.354,0.661,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
159,2022-08-27 03:34:35.202500000,2022-08-27 03:34:35.202500000,2022-08-27 03:34:35.214900000,275.2025,275.2149,26328.0,35346.0,Echolocation,Eptesicus serotinus,0.375,0.638,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
160,2022-08-27 03:34:35.438500000,2022-08-27 03:34:35.438500000,2022-08-27 03:34:35.452400000,275.4385,275.4524,26328.0,36007.0,Echolocation,Eptesicus serotinus,0.389,0.594,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
161,2022-08-27 03:34:35.583500000,2022-08-27 03:34:35.583500000,2022-08-27 03:34:35.596300000,275.5835,275.5963,27187.0,37090.0,Echolocation,Eptesicus serotinus,0.404,0.677,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
162,2022-08-27 03:34:42.329500000,2022-08-27 03:34:42.329500000,2022-08-27 03:34:42.342100000,282.3295,282.3421,26328.0,33633.0,Echolocation,Eptesicus serotinus,0.326,0.542,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
163,2022-08-27 03:34:44.822500000,2022-08-27 03:34:44.822500000,2022-08-27 03:34:44.835400000,284.8225,284.8354,26328.0,32212.0,Echolocation,Nyctalus leisleri,0.276,0.557,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
166,2022-08-27 03:35:22.822500000,2022-08-27 03:35:22.822500000,2022-08-27 03:35:22.834900000,322.8225,322.8349,26328.0,34643.0,Echolocation,Eptesicus serotinus,0.365,0.669,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
176,2022-08-27 03:35:26.628500000,2022-08-27 03:35:26.628500000,2022-08-27 03:35:26.636900000,326.6285,326.6369,28046.0,35947.0,Echolocation,Eptesicus serotinus,0.352,0.549,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
190,2022-08-27 03:35:28.115500000,2022-08-27 03:35:28.115500000,2022-08-27 03:35:28.127000000,328.1155,328.127,27187.0,34029.0,Echolocation,Eptesicus serotinus,0.293,0.549,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
209,2022-08-27 03:35:32.108500000,2022-08-27 03:35:32.108500000,2022-08-27 03:35:32.118400000,332.1085,332.1184,26328.0,34006.0,Echolocation,Eptesicus serotinus,0.322,0.516,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
257,2022-08-27 03:35:46.117500000,2022-08-27 03:35:46.117500000,2022-08-27 03:35:46.129899999,346.1175,346.1299,27187.0,33987.0,Echolocation,Eptesicus serotinus,0.275,0.585,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
261,2022-08-27 03:35:46.415500000,2022-08-27 03:35:46.415500000,2022-08-27 03:35:46.428700000,346.4155,346.4287,27187.0,35463.0,Echolocation,Eptesicus serotinus,0.341,0.624,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
264,2022-08-27 03:35:46.573500000,2022-08-27 03:35:46.573500000,2022-08-27 03:35:46.586400000,346.5735,346.5864,27187.0,34907.0,Echolocation,Eptesicus serotinus,0.344,0.622,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
266,2022-08-27 03:35:46.720500000,2022-08-27 03:35:46.720500000,2022-08-27 03:35:46.733400000,346.7205,346.7334,26328.0,36085.0,Echolocation,Eptesicus serotinus,0.404,0.627,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
269,2022-08-27 03:35:46.974500000,2022-08-27 03:35:46.974500000,2022-08-27 03:35:46.989200000,346.9745,346.9892,27187.0,36817.0,Echolocation,Eptesicus serotinus,0.358,0.575,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
271,2022-08-27 03:35:47.095500000,2022-08-27 03:35:47.095500000,2022-08-27 03:35:47.104700000,347.0955,347.1047,28046.0,36440.0,Echolocation,Eptesicus serotinus,0.361,0.618,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
272,2022-08-27 03:35:47.228500000,2022-08-27 03:35:47.228500000,2022-08-27 03:35:47.242600000,347.2285,347.2426,27187.0,33853.0,Echolocation,Eptesicus serotinus,0.283,0.582,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
275,2022-08-27 03:35:47.457500000,2022-08-27 03:35:47.457500000,2022-08-27 03:35:47.468500000,347.4575,347.4685,27187.0,33515.0,Echolocation,Eptesicus serotinus,0.293,0.623,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
276,2022-08-27 03:35:47.705500000,2022-08-27 03:35:47.705500000,2022-08-27 03:35:47.714800000,347.70550000000003,347.7148,28046.0,33774.0,Echolocation,Nyctalus leisleri,0.277,0.564,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
277,2022-08-27 03:35:47.829500000,2022-08-27 03:35:47.829500000,2022-08-27 03:35:47.841300000,347.8295,347.8413,27187.0,35431.0,Echolocation,Eptesicus serotinus,0.335,0.609,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
310,2022-08-27 03:36:07.682500000,2022-08-27 03:36:07.682500000,2022-08-27 03:36:07.695600000,367.6825,367.6956,28046.0,35467.0,Echolocation,Eptesicus serotinus,0.292,0.563,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
313,2022-08-27 03:36:08.054500000,2022-08-27 03:36:08.054500000,2022-08-27 03:36:08.065699999,368.0545,368.0657,27187.0,33779.0,Echolocation,Eptesicus serotinus,0.311,0.55,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
314,2022-08-27 03:36:08.295500000,2022-08-27 03:36:08.295500000,2022-08-27 03:36:08.306100000,368.2955,368.3061,27187.0,34344.0,Echolocation,Eptesicus serotinus,0.34,0.669,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
315,2022-08-27 03:36:08.432500000,2022-08-27 03:36:08.432500000,2022-08-27 03:36:08.444400000,368.4325,368.4444,27187.0,35715.0,Echolocation,Eptesicus serotinus,0.383,0.621,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
316,2022-08-27 03:36:08.538500000,2022-08-27 03:36:08.538500000,2022-08-27 03:36:08.548800000,368.5385,368.5488,28046.0,42386.0,Echolocation,Eptesicus serotinus,0.333,0.592,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
317,2022-08-27 03:36:08.655500000,2022-08-27 03:36:08.655500000,2022-08-27 03:36:08.665900000,368.6555,368.6659,28046.0,39746.0,Echolocation,Eptesicus serotinus,0.296,0.633,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
320,2022-08-27 03:36:08.875500000,2022-08-27 03:36:08.875500000,2022-08-27 03:36:08.887100000,368.8755,368.8871,27187.0,36107.0,Echolocation,Eptesicus serotinus,0.397,0.516,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
323,2022-08-27 03:36:09.146500000,2022-08-27 03:36:09.146500000,2022-08-27 03:36:09.154900000,369.1465,369.1549,28906.0,37078.0,Echolocation,Eptesicus serotinus,0.369,0.561,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
325,2022-08-27 03:36:09.220500000,2022-08-27 03:36:09.220500000,2022-08-27 03:36:09.227300000,369.2205,369.2273,28046.0,39447.0,Echolocation,Eptesicus serotinus,0.467,0.565,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
326,2022-08-27 03:36:10.061500000,2022-08-27 03:36:10.061500000,2022-08-27 03:36:10.069100000,370.0615,370.0691,28906.0,36175.0,Echolocation,Eptesicus serotinus,0.296,0.551,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
769,2022-08-27 03:38:52.158500000,2022-08-27 03:38:52.158500000,2022-08-27 03:38:52.166200000,532.1585,532.1662,26328.0,35646.0,Echolocation,Eptesicus serotinus,0.389,0.531,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
770,2022-08-27 03:38:52.761500000,2022-08-27 03:38:52.761500000,2022-08-27 03:38:52.768000000,532.7615,532.768,26328.0,38058.0,Echolocation,Eptesicus serotinus,0.496,0.587,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
771,2022-08-27 03:38:52.996500000,2022-08-27 03:38:52.996500000,2022-08-27 03:38:53.002900000,532.9965,533.0029,25468.0,37154.0,Echolocation,Eptesicus serotinus,0.491,0.621,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
772,2022-08-27 03:38:53.330500000,2022-08-27 03:38:53.330500000,2022-08-27 03:38:53.339100000,533.3305,533.3391,25468.0,36728.0,Echolocation,Eptesicus serotinus,0.428,0.621,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
773,2022-08-27 03:38:53.580500000,2022-08-27 03:38:53.580500000,2022-08-27 03:38:53.589000000,533.5805,533.5889999999999,25468.0,38217.0,Echolocation,Eptesicus serotinus,0.416,0.655,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
774,2022-08-27 03:38:53.814500000,2022-08-27 03:38:53.814500000,2022-08-27 03:38:53.825500000,533.8145,533.8255,24609.0,34585.0,Echolocation,Eptesicus serotinus,0.402,0.634,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
814,2022-08-27 03:40:10.783500000,2022-08-27 03:40:10.783500000,2022-08-27 03:40:10.796200000,610.7835,610.7962,23750.0,32796.0,Echolocation,Eptesicus serotinus,0.329,0.582,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
920,2022-08-27 03:42:32.725500000,2022-08-27 03:42:32.725500000,2022-08-27 03:42:32.734500000,752.7255,752.7345,29765.0,36014.0,Echolocation,Nyctalus leisleri,0.318,0.553,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
921,2022-08-27 03:42:32.863500000,2022-08-27 03:42:32.863500000,2022-08-27 03:42:32.870400000,752.8635,752.8704,29765.0,36543.0,Echolocation,Nyctalus leisleri,0.582,0.714,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
922,2022-08-27 03:42:32.928500000,2022-08-27 03:42:32.928500000,2022-08-27 03:42:32.936600000,752.9285,752.9366,29765.0,36237.0,Echolocation,Nyctalus leisleri,0.294,0.566,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
923,2022-08-27 03:42:32.999500000,2022-08-27 03:42:32.999500000,2022-08-27 03:42:33.006100000,752.9995,753.0061,29765.0,36594.0,Echolocation,Nyctalus leisleri,0.399,0.612,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
924,2022-08-27 03:42:33.084500000,2022-08-27 03:42:33.084500000,2022-08-27 03:42:33.093200000,753.0845,753.0932,29765.0,36786.0,Echolocation,Nyctalus leisleri,0.409,0.641,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
925,2022-08-27 03:42:33.284500000,2022-08-27 03:42:33.284500000,2022-08-27 03:42:33.291700000,753.2845,753.2917,28906.0,36793.0,Echolocation,Eptesicus serotinus,0.268,0.571,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
926,2022-08-27 03:42:33.440500000,2022-08-27 03:42:33.440500000,2022-08-27 03:42:33.447100000,753.4405,753.4471,30625.0,37236.0,Echolocation,Nyctalus leisleri,0.371,0.615,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
927,2022-08-27 03:42:33.596500000,2022-08-27 03:42:33.596500000,2022-08-27 03:42:33.604300000,753.5965,753.6043,28906.0,37403.0,Echolocation,Nyctalus leisleri,0.301,0.596,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
928,2022-08-27 03:42:33.696500000,2022-08-27 03:42:33.696500000,2022-08-27 03:42:33.703400000,753.6965,753.7034,30625.0,37775.0,Echolocation,Nyctalus leisleri,0.382,0.598,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
929,2022-08-27 03:42:33.779500000,2022-08-27 03:42:33.779500000,2022-08-27 03:42:33.786000000,753.7795,753.786,29765.0,37506.0,Echolocation,Nyctalus leisleri,0.454,0.659,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
930,2022-08-27 03:42:33.888500000,2022-08-27 03:42:33.888500000,2022-08-27 03:42:33.895000000,753.8885,753.895,30625.0,38462.0,Echolocation,Nyctalus leisleri,0.541,0.708,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
931,2022-08-27 03:42:34.034500000,2022-08-27 03:42:34.034500000,2022-08-27 03:42:34.043300000,754.0345,754.0433,28046.0,41644.0,Echolocation,Eptesicus serotinus,0.47,0.613,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
932,2022-08-27 03:42:34.167500000,2022-08-27 03:42:34.167500000,2022-08-27 03:42:34.175100000,754.1675,754.1751,27187.0,40594.0,Echolocation,Eptesicus serotinus,0.569,0.671,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
934,2022-08-27 03:42:34.436500000,2022-08-27 03:42:34.436500000,2022-08-27 03:42:34.444600000,754.4365,754.4446,28046.0,41479.0,Echolocation,Eptesicus serotinus,0.564,0.674,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
935,2022-08-27 03:42:34.569500000,2022-08-27 03:42:34.569500000,2022-08-27 03:42:34.577000000,754.5695,754.577,28046.0,45814.0,Echolocation,Eptesicus serotinus,0.591,0.688,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
936,2022-08-27 03:42:34.698500000,2022-08-27 03:42:34.698500000,2022-08-27 03:42:34.707800000,754.6985,754.7078,28906.0,38570.0,Echolocation,Eptesicus serotinus,0.443,0.597,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
937,2022-08-27 03:42:34.829500000,2022-08-27 03:42:34.829500000,2022-08-27 03:42:34.836800000,754.8295,754.8368,28046.0,42027.0,Echolocation,Eptesicus serotinus,0.509,0.686,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
938,2022-08-27 03:42:34.916500000,2022-08-27 03:42:34.916500000,2022-08-27 03:42:34.923700000,754.9165,754.9237,28906.0,39328.0,Echolocation,Eptesicus serotinus,0.398,0.552,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
939,2022-08-27 03:42:35.928500000,2022-08-27 03:42:35.928500000,2022-08-27 03:42:35.936100000,755.9285,755.9361,28046.0,38098.0,Echolocation,Eptesicus serotinus,0.425,0.582,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
940,2022-08-27 03:42:36.013500000,2022-08-27 03:42:36.013500000,2022-08-27 03:42:36.022300000,756.0135,756.0223,28906.0,36506.0,Echolocation,Eptesicus serotinus,0.324,0.512,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
941,2022-08-27 03:42:38.336500000,2022-08-27 03:42:38.336500000,2022-08-27 03:42:38.348500000,758.3365,758.3485,25468.0,36520.0,Echolocation,Eptesicus serotinus,0.417,0.615,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
996,2022-08-27 03:43:45.030500000,2022-08-27 03:43:45.030500000,2022-08-27 03:43:45.039300000,825.0305,825.0393,39218.0,45082.0,Echolocation,Pipistrellus nathusii,0.488,0.528,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
998,2022-08-27 03:44:26.423500000,2022-08-27 03:44:26.423500000,2022-08-27 03:44:26.437100000,866.4235,866.4371,26328.0,34471.0,Echolocation,Eptesicus serotinus,0.296,0.633,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
999,2022-08-27 03:44:26.691500000,2022-08-27 03:44:26.691500000,2022-08-27 03:44:26.706800000,866.6915,866.7068,26328.0,31824.0,Echolocation,Nyctalus leisleri,0.304,0.533,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1000,2022-08-27 03:44:26.961500000,2022-08-27 03:44:26.961500000,2022-08-27 03:44:26.978800000,866.9615,866.9788,25468.0,31202.0,Echolocation,Nyctalus leisleri,0.238,0.52,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1001,2022-08-27 03:44:52.942500000,2022-08-27 03:44:52.942500000,2022-08-27 03:44:52.951000000,892.9425,892.951,38359.0,45798.0,Echolocation,Pipistrellus nathusii,0.519,0.623,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1038,2022-08-27 03:45:36.685500000,2022-08-27 03:45:36.685500000,2022-08-27 03:45:36.694900000,936.6855,936.6949,25468.0,33993.0,Echolocation,Eptesicus serotinus,0.317,0.581,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1039,2022-08-27 03:45:38.366500000,2022-08-27 03:45:38.366500000,2022-08-27 03:45:38.376700000,938.3665,938.3767,25468.0,31630.0,Echolocation,Eptesicus serotinus,0.242,0.531,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1040,2022-08-27 03:46:07.774500000,2022-08-27 03:46:07.774500000,2022-08-27 03:46:07.785700000,967.7745,967.7857,25468.0,34680.0,Echolocation,Eptesicus serotinus,0.359,0.575,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1041,2022-08-27 03:46:08.194500000,2022-08-27 03:46:08.194500000,2022-08-27 03:46:08.207600000,968.1945,968.2076,24609.0,36091.0,Echolocation,Eptesicus serotinus,0.453,0.62,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1042,2022-08-27 03:46:08.759500000,2022-08-27 03:46:08.759500000,2022-08-27 03:46:08.772100000,968.7595,968.7721,25468.0,34756.0,Echolocation,Eptesicus serotinus,0.333,0.589,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1043,2022-08-27 03:46:09.211500000,2022-08-27 03:46:09.211500000,2022-08-27 03:46:09.224300000,969.2115,969.2243,24609.0,36083.0,Echolocation,Eptesicus serotinus,0.468,0.678,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1044,2022-08-27 03:46:09.360500000,2022-08-27 03:46:09.360500000,2022-08-27 03:46:09.374800000,969.3605,969.3748,24609.0,38589.0,Echolocation,Eptesicus serotinus,0.531,0.671,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1045,2022-08-27 03:46:09.612500000,2022-08-27 03:46:09.612500000,2022-08-27 03:46:09.624400000,969.6125,969.6244,25468.0,37516.0,Echolocation,Eptesicus serotinus,0.41,0.612,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
